id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
96;2045_scenario;;efficiency;electricity;ALL;large_battery_storage;storage;0.92;;"Digiplan-Empowerplan: technology_data_catalogue_for_energy_and_storage.xlsx; 180 Lithium Ion Battery";
97;2045_scenario;;expandable;electricity;ALL;large_battery_storage;storage;true;;;
98;2045_scenario;r120640428428-electricity-large_battery_storage;input_parameters;electricity;r120640428428;large_battery_storage;storage;"{""variable_costs"": 0.1}";;;Own assumption to prevent hidden curtailment
99;2045_scenario;;loss_rate;electricity;ALL;large_battery_storage;storage;0.1;1/h;own assumption;
100;2045_scenario;;marginal_cost;electricity;ALL;large_battery_storage;storage;1.75;EUR/MWh;"Digiplan-Empowerplan: technology_data_catalogue_for_energy_and_storage.xlsx; 180 Lithium Ion Battery";"(1;7+((1;6-1;7)*(2045-2040)/(2050-2040)))*1;0582"
101;2045_scenario;r120640428428-electricity-large_battery_storage;storage_capacity;electricity;r120640428428;large_battery_storage;storage;0.0;MWh;;Zero
102;2045_scenario;;storage_capacity_cost;electricity;ALL;large_battery_storage;storage;21574.976421111423;;;
103;2045_scenario;r120640428428-electricity-large_battery_storage;storage_capacity_potential;electricity;r120640428428;large_battery_storage;storage;;MWh;;Empty
104;2045_scenario;r120640428428-electricity-pv_agri_horizontal;capacity;electricity;r120640428428;pv_agri_horizontal;volatile;0.0;MW;;Zero
105;2045_scenario;;capacity_cost;electricity;ALL;pv_agri_horizontal;volatile;27813.439748989036;;;
106;2045_scenario;r120640428428-electricity-pv_agri_horizontal;capacity_potential;electricity;r120640428428;pv_agri_horizontal;volatile;0.240107872178303;MW;;Empty
107;2045_scenario;;expandable;electricity;ALL;pv_agri_horizontal;volatile;true;;;
108;2045_scenario;r120640428428-electricity-pv_agri_vertical;capacity;electricity;r120640428428;pv_agri_vertical;volatile;0.0;MW;;Zero
109;2045_scenario;;capacity_cost;electricity;ALL;pv_agri_vertical;volatile;27813.439748989036;;;
110;2045_scenario;r120640428428-electricity-pv_agri_vertical;capacity_potential;electricity;r120640428428;pv_agri_vertical;volatile;2.97133809586662;MW;;Empty
111;2045_scenario;;expandable;electricity;ALL;pv_agri_vertical;volatile;true;;;
112;2045_scenario;r120640428428-electricity-pv_ground;capacity;electricity;r120640428428;pv_ground;volatile;0.0;MW;;Zero
113;2045_scenario;;capacity_cost;electricity;ALL;pv_ground;volatile;23159.664243948777;;;
114;2045_scenario;r120640428428-electricity-pv_ground;capacity_potential;electricity;r120640428428;pv_ground;volatile;14.0571443990255;MW;;Empty
115;2045_scenario;;expandable;electricity;ALL;pv_ground;volatile;true;;;
116;2045_scenario;r120640428428-electricity-pv_rooftop;capacity;electricity;r120640428428;pv_rooftop;volatile;0.0;MW;;Zero
117;2045_scenario;;capacity_cost;electricity;ALL;pv_rooftop;volatile;39700.5834021078;;;
118;2045_scenario;r120640428428-electricity-pv_rooftop;capacity_potential;electricity;r120640428428;pv_rooftop;volatile;92.582;MW;;Empty
119;2045_scenario;;expandable;electricity;ALL;pv_rooftop;volatile;true;;;
120;2045_scenario;r120640428428-electricity-small_battery_storage;capacity;electricity;r120640428428;small_battery_storage;storage;64.8074;MW;;"""nominal_power_per_storage_capacity"": 0.7"
121;2045_scenario;;capacity_cost;electricity;ALL;small_battery_storage;storage;0.008994110037097316;;;
122;2045_scenario;r120640428428-electricity-small_battery_storage;capacity_potential;electricity;r120640428428;small_battery_storage;storage;;MW;;Empty
123;2045_scenario;;efficiency;electricity;ALL;small_battery_storage;storage;0.95;;"Digiplan-Empowerplan: fluri-2019-wirtschaftlichkeit-dez-stromspeicher.pdf; S. 91";
124;2045_scenario;;expandable;electricity;ALL;small_battery_storage;storage;true;;;
125;2045_scenario;r120640428428-electricity-small_battery_storage;input_parameters;electricity;r120640428428;small_battery_storage;storage;"{""variable_costs"": 0.1}";;;Own assumption to prevent hidden curtailment
126;2045_scenario;;loss_rate;electricity;ALL;small_battery_storage;storage;0.1;1/h;own assumption;
127;2045_scenario;;marginal_cost;electricity;ALL;small_battery_storage;storage;0.0;EUR/MWh;Digiplan-Empowerplan:;
128;2045_scenario;r120640428428-electricity-small_battery_storage;storage_capacity;electricity;r120640428428;small_battery_storage;storage;92.582;MWh;;"""storage_capacity_per_pv_power"": 1"
129;2045_scenario;;storage_capacity_cost;electricity;ALL;small_battery_storage;storage;77750.52431161744;;;
130;2045_scenario;r120640428428-electricity-small_battery_storage;storage_capacity_potential;electricity;r120640428428;small_battery_storage;storage;;MWh;;Empty
131;2045_scenario;r120640428428-electricity-wind;capacity;electricity;r120640428428;wind;volatile;0.0;MW;;Zero
132;2045_scenario;;capacity_cost;electricity;ALL;wind;volatile;68717.7981423247;;;
133;2045_scenario;r120640428428-electricity-wind;capacity_potential;electricity;r120640428428;wind;volatile;0.0;MW;;Empty
134;2045_scenario;;expandable;electricity;ALL;wind;volatile;true;;;
135;2045_scenario;r120640428428-h2-boiler_heat_high;capacity;h2;r120640428428;boiler_heat_high;conversion;0.0;MW;;Zero
136;2045_scenario;;capacity_cost;h2;ALL;boiler_heat_high;conversion;12727.118044693523;;;
137;2045_scenario;r120640428428-h2-boiler_heat_high;capacity_potential;h2;r120640428428;boiler_heat_high;conversion;;MW;;Empty
138;2045_scenario;;carrier_cost;h2;ALL;boiler_heat_high;conversion;0.0;Eur/MWh;From original raw_cost_eff:;Zero
139;2045_scenario;;efficiency;h2;ALL;boiler_heat_high;conversion;0.92;;https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Analyse_IntEv.pdf;Table 19 S.206
140;2045_scenario;;expandable;h2;ALL;boiler_heat_high;conversion;true;;;
141;2045_scenario;;marginal_cost;h2;ALL;boiler_heat_high;conversion;1.0582;EUR/MWh;"From original raw_cost_eff: technology_data_for_el_and_dh.xlsx; 44 Natural Gas DH Only";"1*1;0582 Dummy value"
142;2045_scenario;r120640428428-h2-bpchp_heat_high;capacity;h2;r120640428428;bpchp_heat_high;backpressure;0.0;MW;;Zero
143;2045_scenario;;capacity_cost;h2;ALL;bpchp_heat_high;backpressure;160457.68782772945;;;
144;2045_scenario;;carrier_cost;h2;ALL;bpchp_heat_high;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
145;2045_scenario;;electric_efficiency;h2;ALL;bpchp_heat_high;backpressure;0.36;;Technikkatalog_Wärmeplanung_Version_1.1_August24;H2-BHKW
146;2045_scenario;;expandable;h2;ALL;bpchp_heat_high;backpressure;true;;;
147;2045_scenario;;marginal_cost;h2;ALL;bpchp_heat_high;backpressure;4.05;EUR/MWh;From original raw_cost_eff:;Dummy value
148;2045_scenario;;thermal_efficiency;h2;ALL;bpchp_heat_high;backpressure;0.56;;Technikkatalog_Wärmeplanung_Version_1.1_August24;H2-BHKW
149;2045_scenario;r120640428428-h2-commodity;capacity;h2;r120640428428;commodity;shortage;550.0;MW;;No limit for import
150;2045_scenario;;marginal_cost;h2;ALL;commodity;shortage;76.0;EUR/MWh;SLE research: https://epub.wupperinst.org/frontdoor/deliver/index/docId/8344/file/8344_Wasserstoffkosten.pdf;Figure 4-3: [DVGW] average value of german production between 6.7 and 8.5 ct/ kWhH2
151;2045_scenario;r120640428428-h2-export;capacity;h2;r120640428428;export;excess;;MW;;Empty
152;2045_scenario;;marginal_cost;h2;ALL;export;excess;0.0;EUR/MWh;own assumption;
153;2045_scenario;r120640428428-heat_high-demand_ind;amount;heat_high;r120640428428;demand_ind;load;4637.30710333747;MWh/a;;Zero
154;2045_scenario;r120640428428-heat_low_central-demand_cts;amount;heat_low_central;r120640428428;demand_cts;load;254.304819122836;MWh/a;;Zero
155;2045_scenario;r120640428428-heat_low_central-demand_hh;amount;heat_low_central;r120640428428;demand_hh;load;801.719966183287;MWh/a;;Zero
156;2045_scenario;r120640428428-heat_low_central-demand_ind;amount;heat_low_central;r120640428428;demand_ind;load;24.0996399380302;MWh/a;;Zero
157;2045_scenario;r120640428428-heat_low_central-storage;capacity;heat_low_central;r120640428428;storage;storage;0.0;MW;;Zero
158;2045_scenario;;capacity_cost;heat_low_central;ALL;storage;storage;9.105052348932443;;;
159;2045_scenario;r120640428428-heat_low_central-storage;capacity_potential;heat_low_central;r120640428428;storage;storage;;MW;;Empty
160;2045_scenario;;efficiency;heat_low_central;ALL;storage;storage;0.98;;"Digiplan-Empowerplan: technology_data_for_energy_and_storage.xlsx; 141 Large hot water tank";
161;2045_scenario;;expandable;heat_low_central;ALL;storage;storage;true;;;
162;2045_scenario;r120640428428-heat_low_central-storage;input_parameters;heat_low_central;r120640428428;storage;storage;"{""variable_costs"": 0.1}";;;Own assumption to prevent hidden curtailment
163;2045_scenario;;loss_rate;heat_low_central;ALL;storage;storage;0.1;1/h;own assumption;
164;2045_scenario;;marginal_cost;heat_low_central;ALL;storage;storage;0.0;EUR/MWh;"Digiplan-Empowerplan: technology_data_for_energy_and_storage.xlsx; 141 Large hot water tank";
165;2045_scenario;r120640428428-heat_low_central-storage;storage_capacity;heat_low_central;r120640428428;storage;storage;0.0;MWh;;Zero
166;2045_scenario;;storage_capacity_cost;heat_low_central;ALL;storage;storage;169.5120786050405;;;
167;2045_scenario;r120640428428-heat_low_central-storage;storage_capacity_potential;heat_low_central;r120640428428;storage;storage;;MWh;;Empty
168;2045_scenario;r120640428428-heat_low_decentral-demand_cts;amount;heat_low_decentral;r120640428428;demand_cts;load;11979.1719793242;MWh/a;;Zero
169;2045_scenario;r120640428428-heat_low_decentral-demand_hh;amount;heat_low_decentral;r120640428428;demand_hh;load;37765.4713241144;MWh/a;;Zero
170;2045_scenario;r120640428428-heat_low_decentral-demand_ind;amount;heat_low_decentral;r120640428428;demand_ind;load;1135.22713589634;MWh/a;;Zero
171;2045_scenario;r120640428428-heat_low_decentral-solarthermal_plant;capacity;heat_low_decentral;r120640428428;solarthermal_plant;volatile;0.0;MW;;Zero
172;2045_scenario;;capacity_cost;heat_low_decentral;ALL;solarthermal_plant;volatile;48641.64065072932;;;
173;2045_scenario;r120640428428-heat_low_decentral-solarthermal_plant;capacity_potential;heat_low_decentral;r120640428428;solarthermal_plant;volatile;39.678;MW;;Empty
174;2045_scenario;;expandable;heat_low_decentral;ALL;solarthermal_plant;volatile;true;;;
175;2045_scenario;r120640428428-heat_low_decentral-storage;capacity;heat_low_decentral;r120640428428;storage;storage;0.0;MW;;Zero
176;2045_scenario;;capacity_cost;heat_low_decentral;ALL;storage;storage;4338.715783009913;;;
177;2045_scenario;r120640428428-heat_low_decentral-storage;capacity_potential;heat_low_decentral;r120640428428;storage;storage;;MW;;Empty
178;2045_scenario;;efficiency;heat_low_decentral;ALL;storage;storage;1.0;;"Digiplan-Empowerplan: technology_data_for_energy_and_storage.xlsx; 142 small scale hot water tank";
179;2045_scenario;;expandable;heat_low_decentral;ALL;storage;storage;true;;;
180;2045_scenario;r120640428428-heat_low_decentral-storage;input_parameters;heat_low_decentral;r120640428428;storage;storage;"{""variable_costs"": 0.1}";;;Own assumption to prevent hidden curtailment
181;2045_scenario;;loss_rate;heat_low_decentral;ALL;storage;storage;0.021;1/h;"Digiplan-Empowerplan: technology_data_for_energy_and_storage.xlsx; 142 small scale hot water tank";"2;1/100"
182;2045_scenario;;marginal_cost;heat_low_decentral;ALL;storage;storage;1.27;EUR/MWh;"Digiplan-Empowerplan: technology_data_for_energy_and_storage.xlsx; 142 small scale hot water tank";"1;2*1;0582"
183;2045_scenario;r120640428428-heat_low_decentral-storage;storage_capacity;heat_low_decentral;r120640428428;storage;storage;0.0;MWh;;Zero
184;2045_scenario;;storage_capacity_cost;heat_low_decentral;ALL;storage;storage;42726.952470328564;;;
185;2045_scenario;r120640428428-heat_low_decentral-storage;storage_capacity_potential;heat_low_decentral;r120640428428;storage;storage;;MWh;;Empty
186;2045_scenario;r120640428428-residual_waste-bpchp_heat_high;capacity;residual_waste;r120640428428;bpchp_heat_high;backpressure;0.0;MW;;Zero
187;2045_scenario;;capacity_cost;residual_waste;ALL;bpchp_heat_high;backpressure;675577.0459946925;;;
188;2045_scenario;;carrier_cost;residual_waste;ALL;bpchp_heat_high;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
189;2045_scenario;;electric_efficiency;residual_waste;ALL;bpchp_heat_high;backpressure;0.21;;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Electricity efficiency; net; annual average"
190;2045_scenario;;expandable;residual_waste;ALL;bpchp_heat_high;backpressure;true;;;
191;2045_scenario;;marginal_cost;residual_waste;ALL;bpchp_heat_high;backpressure;27.2845;EUR/MWh_e;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Variable O&M"
192;2045_scenario;;thermal_efficiency;residual_waste;ALL;bpchp_heat_high;backpressure;0.76;per unit;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Heat efficiency; net; annual average"
193;2045_scenario;r120640428428-residual_waste-bpchp_heat_low_central;capacity;residual_waste;r120640428428;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
194;2045_scenario;;capacity_cost;residual_waste;ALL;bpchp_heat_low_central;backpressure;675577.0459946925;;;
195;2045_scenario;;carrier_cost;residual_waste;ALL;bpchp_heat_low_central;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
196;2045_scenario;;electric_efficiency;residual_waste;ALL;bpchp_heat_low_central;backpressure;0.21;;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Electricity efficiency; net; annual average"
197;2045_scenario;;expandable;residual_waste;ALL;bpchp_heat_low_central;backpressure;true;;;
198;2045_scenario;;marginal_cost;residual_waste;ALL;bpchp_heat_low_central;backpressure;27.2845;EUR/MWh_e;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Variable O&M"
199;2045_scenario;;thermal_efficiency;residual_waste;ALL;bpchp_heat_low_central;backpressure;0.76;per unit;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Heat efficiency; net; annual average"
200;2045_scenario;r120640428428-residual_waste-commodity;capacity;residual_waste;r120640428428;commodity;shortage;132.809523809524;MW;;No limit for import
201;2045_scenario;;marginal_cost;residual_waste;ALL;commodity;shortage;0.0;EUR/MWh;own assumption;own assumption
